time,anomaly,lower_confidence_limit,upper_confidence_limit,id
1957,-0.034902032,-0.13153525,0.06173118,108
1958,-0.11796081,-0.22249192,-0.0134297,109
1959,-0.14308532,-0.24445271,-0.041717935,110
1960,-0.23137054,-0.32561,-0.13713107,111
1961,-0.03326399,-0.11783391,0.051305935,112
1962,-0.17631456,-0.26692864,-0.08570047,113
1963,-0.14397602,-0.23323615,-0.054715883,114
1964,-0.35073146,-0.42078084,-0.2806821,115
1965,-0.21364318,-0.29223007,-0.13505627,116
1966,-0.20880918,-0.2847674,-0.13285099,117
1967,-0.19589992,-0.26674715,-0.1250527,118
1968,-0.1980263,-0.2743776,-0.12167498,119
1969,0.037604645,-0.028618785,0.10382808,120
1970,-0.0477133,-0.12028632,0.024859725,121
1971,-0.18290249,-0.24850717,-0.11729782,122
1972,0.062229194,-0.004902805,0.1293612,123
1973,0.0782654,0.01284684,0.14368396,124
1974,-0.09544133,-0.16010131,-0.030781347,125
1975,-0.11062622,-0.1819572,-0.03929524,126
1976,-0.17986071,-0.2525702,-0.10715119,127
1977,0.1272066,0.05344062,0.20097259,128
1978,0.0224081,-0.04685223,0.09166843,129
1979,0.15063521,0.10375881,0.19751163,130
1980,0.25283712,0.19722392,0.3084503,131
1981,0.16006088,0.108073376,0.21204838,132
1982,0.07840488,0.01074099,0.14606877,133
1983,0.25546375,0.1940041,0.31692338,134
1984,0.12563127,0.063797526,0.18746501,135
1985,0.15148632,0.094281375,0.20869127,136
1986,0.12935646,0.07738296,0.18132995,137
1987,0.29033786,0.2404587,0.34021702,138
1988,0.24864225,0.19030634,0.30697817,139
1989,0.14113335,0.08285449,0.19941223,140
1990,0.25713807,0.19574343,0.3185327,141
1991,0.2926021,0.23428003,0.35092413,142
1992,0.15288447,0.09671051,0.20905843,143
1993,0.13887216,0.07465623,0.2030881,144
1994,0.14387386,0.08518326,0.20256445,145
1995,0.18509625,0.13035396,0.23983856,146
1996,0.26163,0.20632902,0.31693095,147
1997,0.3098965,0.25783122,0.36196178,148
1998,0.4403418,0.3849287,0.49575487,149
1999,0.1726068,0.12117485,0.22403874,150
2000,0.17509349,0.12136348,0.22882348,151
2001,0.35031772,0.29752716,0.4031083,152
2002,0.41821876,0.36818385,0.46825367,153
2003,0.36786872,0.31307235,0.42266506,154
2004,0.3012516,0.248488,0.3540152,155
2005,0.38232562,0.33637917,0.4282721,156
2006,0.3503445,0.30289188,0.39779714,157
2007,0.35130018,0.30631387,0.39628652,158
2008,0.25959548,0.20826322,0.31092775,159
2009,0.48682365,0.43896297,0.53468436,160
2010,0.44124317,0.39354444,0.4889419,161
2011,0.3500494,0.29968908,0.4004097,162
2012,0.3708825,0.3172651,0.42449993,163
2013,0.47047654,0.41605493,0.5248982,164
2014,0.4379493,0.38383573,0.4920629,165
2015,0.5193882,0.47102094,0.56775546,166
2016,0.61066127,0.5616908,0.65963167,167
2017,0.57495165,0.5262986,0.6236047,168
2018,0.56564635,0.5165696,0.6147231,169
2019,0.63840175,0.5854668,0.69133675,170
2020,0.569861,0.51771396,0.6220081,171
2021,0.44576237,0.39234433,0.49918038,172
2022,0.5028665,0.4483708,0.5573622,173
2023,0.42796206,0.14659004,0.7093341,174
